gender,SeniorCitizen,Partner,tenure,PhoneService,MultipleLines,InternetService,TechSupport,StreamingTV,StreamingMovies,Contract,PaymentMethod,MonthlyCharges,TotalCharges,service calls,Point de vente,Churn
Female,0,Yes,1,No,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Mobile Money,29.85,29.85,3,Ouesso,No
Male,0,No,34,Yes,No,SPEED FAMILY 100,No,No,No,Annuel,Chèque,56.95,1889.5,2,Brazzaville,No
Male,0,No,2,Yes,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Chèque,53.85,108.15,3,Oyo,Yes
Male,0,No,45,No,No,SPEED FAMILY 100,Yes,No,No,Annuel,Virement Bancaire,42.3,1840.75,3,Pointe-Noire,No
Female,0,No,2,Yes,No,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Mobile Money,70.7,151.65,2,Dolisie,Yes
Female,0,No,8,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Mensuel Postpay,Mobile Money,99.65,820.5,3,Oyo,Yes
Male,0,No,22,Yes,Yes,SPEED FAMILY 220,No,Yes,No,Mensuel Postpay,Carte Bancaire,89.1,1949.4,3,Dolisie,No
Female,0,No,10,No,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Chèque,29.75,301.9,3,Dolisie,No
Female,0,Yes,28,Yes,Yes,SPEED FAMILY 220,Yes,Yes,Yes,Mensuel Postpay,Mobile Money,104.8,3046.05,2,Oyo,Yes
Male,0,No,62,Yes,No,SPEED FAMILY 100,No,No,No,Annuel,Virement Bancaire,56.15,3487.95,1,Brazzaville,No
Male,0,Yes,13,Yes,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Chèque,49.95,587.45,1,Pointe-Noire,No
Male,0,No,16,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Prepay,Carte Bancaire,18.95,326.8,3,Brazzaville,No
Male,0,Yes,58,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Annuel,Carte Bancaire,100.35,5681.1,3,Dolisie,No
Male,0,No,49,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Mensuel Postpay,Virement Bancaire,103.7,5036.3,4,Pointe-Noire,Yes
Male,0,No,25,Yes,No,SPEED FAMILY 220,Yes,Yes,Yes,Mensuel Postpay,Mobile Money,105.5,2686.05,2,Pointe-Noire,No
Female,0,Yes,69,Yes,Yes,SPEED FAMILY 220,Yes,Yes,Yes,Mensuel Prepay,Carte Bancaire,113.25,7895.15,4,Oyo,No
Female,0,No,52,Yes,No,SPEED FAMILY 60,No,No,No,Annuel,Chèque,20.65,1022.95,2,Dolisie,No
Male,0,No,71,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Mensuel Prepay,Virement Bancaire,106.7,7382.25,1,Ouesso,No
Female,0,Yes,10,Yes,No,SPEED FAMILY 100,Yes,No,No,Mensuel Postpay,Carte Bancaire,55.2,528.35,4,Dolisie,Yes
Female,0,No,21,Yes,No,SPEED FAMILY 220,No,No,Yes,Mensuel Postpay,Mobile Money,90.05,1862.9,4,Oyo,No
Male,1,No,1,No,No,SPEED FAMILY 100,No,No,Yes,Mensuel Postpay,Mobile Money,39.65,39.65,3,Ouesso,Yes
